検索キー,医療機関名,正規化住所,郵便番号,電話番号,オンライン予約用ページアドレス,相談センター等からの紹介,自院患者,濃厚接触者,小児,妊婦,区市町村,行政コード,大字,それ以降の住所,ビル名・階数・部屋番号,PCR,抗原定量,抗原定性,鼻咽頭,鼻腔,唾液,その他,月（午前）,月（午後）,火（午前）,火（午後）,水（午前）,水（午後）,木（午前）,木（午後）,金（午前）,金（午後）,土（午前）,土（午後）,日（午前）,日（午後）,対応できる外国語,診療検査日時が祝日の場合,それ以降の住所
にっとのクリニック原町2-1-24,にっとのクリニック,東京都目黒区原町2-1-24,152-0012,03-5704-4092,,1,1,,1,1,目黒区,13110,原町,2-1-24,,1,,1,1,,1,,8:30~11:30,15:00~17:30,8:30~11:30,15:00~17:30,8:30~11:30,15:00~17:30,8:30~11:30,15:00~17:30,8:30~11:30,15:00~17:30,8:30~11:30,,,,,,原町2-1-24
三鷹さくらクリニック牟礼　2-11-5,三鷹さくらクリニック,東京都三鷹市牟礼　,181-0002,0422-43-6410,,1,1,,,,三鷹市,13204,牟礼　,,2-11-5,1,,,,,1,,,15:30~16:30,,15:30~16:30,,,,15:30~16:30,,,,,,,,,牟礼　2-11-5
広尾ガーデンヒルズクリニック広尾4-1-12 G棟,広尾ガーデンヒルズクリニック,東京都渋谷区広尾4-1-12 ,150-0012,web予約,https://www.gardenhills-clinic.com,1,1,1,1,,渋谷区,13113,広尾,4-1-12 ,G棟,1,,1,1,1,1,,10:00~13:00,15:00~19:00,9:00~13:00,15:00~18:00,9:00~13:00,15:00~18:00,9:00~13:00,,,16:00~21:00,9:00~13:00,,,,英語,,広尾4-1-12 G棟
医療法人財団 厚仁会 藤田記念耳鼻咽喉科田園調布2-34-22,医療法人財団 厚仁会 藤田記念耳鼻咽喉科,東京都大田区田園調布2-34-22,145-0071,03-3721-2832,,1,1,,1,,大田区,13111,田園調布,2-34-22,,,,1,1,,,,12:15~12:45,,,,,,12:15~12:45,,12:15~12:45,,12:15~12:45,,,,なし,,田園調布2-34-22
医療法人社団大塚耳鼻咽喉科医院松山1-40-21-1F,医療法人社団大塚耳鼻咽喉科医院,東京都清瀬市松山1-40-21-1F,204-0022,042-492-0287,,1,1,,1,1,清瀬市,13221,松山,1-40-21-1F,,1,,1,1,,,,9:00~12:00,15:00~18:30,9:00~12:00,15:00~18:30,9:00~12:00,15:00~18:30,,14:00~18:30,9:00~12:00,15:00~18:30,,21:00~14:00,,,,,松山1-40-21-1F
医療法人社団かえでこどもクリニック井口3-6-16アップルかえで通りビル１階,医療法人社団かえでこどもクリニック,東京都三鷹市井口3-6-16アップルかえで通りビル１階,181-0011,web予約,https://kaede.mdja.jp/,1,1,1,2,,三鷹市,13204,井口,3-6-16アップルかえで通りビル１階,,1,,1,1,1,1,,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,,,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,,,,英語,,井口3-6-16アップルかえで通りビル１階
神田すこやかクリニック神田須田町1-30-1パークホームズ千代田淡路町1階,神田すこやかクリニック,東京都千代田区神田須田町1-30-1パークホームズ千代田淡路町1階,101-0041,web予約,https://www.kanda-sukoyaka.com/contact/,1,1,1,,,千代田区,13101,神田須田町,1-30-1パークホームズ千代田淡路町1階,,1,,1,1,1,1,,,12:00~17:00,,12:00~17:00,,12:00~17:00,,12:00~17:00,11:30~12:00,12:00~17:00,,,,,英語,,神田須田町1-30-1パークホームズ千代田淡路町1階
みぞべこどもクリニック高幡５０７ー４リーデンススクエア高幡不動１１６,みぞべこどもクリニック,東京都日野市高幡５０７ー４リーデンススクエア高幡不動１１６,191-0031,042-592-2311,,1,1,1,1,,日野市,13212,高幡,５０７ー４リーデンススクエア高幡不動１１６,,,,1,,1,,,9:30~12:30,15:30~17:00,9:30~12:30,15:30~17:00,,,9:30~12:30,15:30~17:00,9:30~12:30,15:30~17:00,9:30~13:00,,,,,,高幡５０７ー４リーデンススクエア高幡不動１１６
うちだ内科クリニック富士見台２－４－１５ 大惣ビル１階,うちだ内科クリニック,東京都練馬区富士見台２－４－１５ ,177-0034,03-3970-2433,,,1,,,,練馬区,13120,富士見台,２－４－１５ ,大惣ビル１階,1,,,,,1,,,15:30~17:30,9:00~11:00,15:30~17:30,9:00~11:00,,,,9:00~11:00,15:30~17:30,9:00~11:00,,,,,,富士見台２－４－１５ 大惣ビル１階
医療法人社団ＤＥＮ　みいクリニック代々木千駄ヶ谷5-21-14　バリューHRビル2階,医療法人社団ＤＥＮ　みいクリニック代々木,東京都渋谷区千駄ヶ谷5-21-14　,151-0051,web予約,https://medical.apokul.jp/web/139/reservations/add,1,1,1,1,1,渋谷区,13113,千駄ヶ谷,5-21-14　,バリューHRビル2階,1,1,1,1,,1,,9:30~13:00,14:00~17:30,9:30~13:00,14:00~17:30,9:30~13:00,14:00~17:30,9:30~13:00,14:00~17:30,9:30~13:00,14:00~17:30,,,,,英語。その他、ポケトークにて対応可能。,,千駄ヶ谷5-21-14　バリューHRビル2階
医療法人社団　友歩会　いしいこどもクリニック調布ヶ丘３－１９－１２　桑田ビル１階B,医療法人社団　友歩会　いしいこどもクリニック,東京都調布市調布ヶ丘３－１９－１２　,182-0021,０４２－４８３－０１０１,,1,1,,2,,調布市,13208,調布ヶ丘,３－１９－１２　,桑田ビル１階B,1,,1,1,1,1,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~13:00,,,,,,調布ヶ丘３－１９－１２　桑田ビル１階B
豊川小児科内科医院つくし野２-１８-１８,豊川小児科内科医院,東京都町田市つくし野２-１８-１８,194-0001,042-795-4465,,1,1,,1,1,町田市,13209,つくし野,２-１８-１８,,1,,1,1,,,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,10:00~12:00,,11:00~12:00,17:00~18:00,,,,,,,つくし野２-１８-１８
文京クリニック千駄木１－２３－３， カーサリーナ千駄木２階,文京クリニック,東京都文京区千駄木１－２３－３， ,113-0022,03-3823-6614,,1,1,,,,文京区,13105,千駄木,１－２３－３， ,カーサリーナ千駄木２階,1,,1,1,,1,,12:00~14:00,18:00~19:00,12:00~14:00,18:00~19:00,12:00~14:00,18:00~19:00,,,12:00~14:00,18:00~19:00,,12:00~15:00,,,,,千駄木１－２３－３， カーサリーナ千駄木２階
平和国際医院池袋2-48-8恩和ビル2階,平和国際医院,東京都豊島区池袋2-48-8恩和ビル2階,171-0014,03-5904-8608,,1,1,1,1,,豊島区,13116,池袋,2-48-8恩和ビル2階,,1,,1,,1,1,,11:00~13:00,14:00~18:00,11:00~13:00,14:00~18:00,,,,,11:00~13:00,14:00~18:00,,13:00~17:00,,,中国語、英語、ドイツ語,,池袋2-48-8恩和ビル2階
さとみクリニック是政2-3-4フルブルーム103,さとみクリニック,東京都府中市是政2-3-4フルブルーム103,183-0014,042-340-8688,,1,1,,1,1,府中市,13206,是政,2-3-4フルブルーム103,,,,1,1,,,,10:30~11:00,16:00~17:00,,16:00~17:00,10:30~11:00,16:00~17:00,10:30~11:00,,,16:00~17:00,10:30~11:00,,,,英語,,是政2-3-4フルブルーム103
渡邉医院西糀谷2-24-4,渡邉医院,東京都大田区西糀谷2-24-4,144-0034,03-3741-2531,,1,1,1,,1,大田区,13111,西糀谷,2-24-4,,1,,1,1,,1,,9:00~12:00,16:00~19:00,9:00~12:00,16:00~19:00,9:00~12:00,16:00~19:00,,,9:00~12:00,16:00~19:00,9:00~12:00,,,,,,西糀谷2-24-4
一般社団法人　医釣会　月島きずなクリニック月島２－７－９,一般社団法人　医釣会　月島きずなクリニック,東京都中央区月島２－７－９,104-0052,03-5859-0157,,1,1,1,1,1,中央区,13102,月島,２－７－９,,1,,1,1,,1,,9:00~13:30,15:00~17:00,9:00~13:30,15:00~17:00,9:00~13:30,15:00~17:00,9:00~13:30,15:00~18:30,9:00~13:30,15:00~18:30,9:00~13:30,14:30~17:00,,,,,月島２－７－９
松岡医院中和泉5-10-18,松岡医院,東京都狛江市中和泉5-10-18,201-0012,03-3480-4122,,1,1,,1,,狛江市,13219,中和泉,5-10-18,,1,,,1,,1,,9:00~12:00,16:00~17:00,9:00~12:00,16:00~17:00,,,9:00~12:00,16:00~17:00,9:00~12:00,16:00~17:00,9:00~11:00,,,,,,中和泉5-10-18
岡部こどもクリニック小川町1-512-12,岡部こどもクリニック,東京都小平市小川町1-512-12,187-0032,042-349-1152,,1,1,,2,,小平市,13211,小川町,1-512-12,,1,,1,1,1,,,8:30~9:30,15:00~16:00,8:30~9:30,15:00~16:00,8:30~9:30,15:00~16:00,8:30~9:30,,8:30~9:30,15:00~16:00,8:30~10:30,,,,,,小川町1-512-12
